#{"t_start": 1765005134.2260592, "env_id": "None"}
r,l,t
-10.1,1,14.744241
-10.1,1,14.761131
-10.1,1,14.775617
-10.1,1,14.789016
10.9,1,14.804183
10.9,1,14.820373
10.9,1,14.836368
-7.1,1,14.850178
-10.1,1,14.863091
-10.1,1,14.87409
-7.1,1,14.878977
-0.222763,1,14.894106
-10.1,1,14.905915
-10.1,1,14.92222
-10.1,1,14.936742
10.9,1,14.954153
-7.1,1,14.958163
-10.1,1,14.977309
-10.1,1,14.99443
-10.1,1,15.01379
-7.1,1,15.015804
-7.1,1,15.019825
-7.1,1,15.023853
-10.1,1,15.039706
10.9,1,15.057427
10.9,1,15.073589
10.9,1,15.085111
10.9,1,15.100708
10.9,1,15.114286
-10.1,1,15.126784
-10.1,1,15.141046
10.9,1,15.145141
10.9,1,15.160145
10.9,1,15.177927
10.9,1,15.19941
-10.1,1,15.212526
-0.125598,1,15.228029
10.9,1,15.243675
10.9,1,15.259173
-7.1,1,15.260162
-10.1,1,15.260162
-0.276411,1,15.284102
10.9,1,15.29524
-10.1,1,15.310309
10.9,1,15.31881
-7.1,1,15.324043
-0.209981,1,15.34065
-10.1,1,15.357972
10.9,1,15.371128
-10.1,1,15.388305
-10.1,1,15.406337
-0.244801,1,15.424447
10.9,1,15.439259
10.9,1,15.45534
10.9,1,15.469464
-0.202679,1,15.485263
10.9,1,15.502721
-10.1,1,15.519356
-10.1,1,15.535757
10.9,1,15.549913
10.9,1,15.569108
-10.1,1,15.586174
-10.1,1,15.601057
-0.211681,1,15.624224
10.9,1,15.64715
-0.111511,1,15.667882
-10.1,1,15.685994
0.021509,1,15.706364
10.9,1,15.727154
10.9,1,15.743789
-10.1,1,15.759694
-10.1,1,15.771464
10.9,1,15.777396
10.9,1,15.795915
-10.1,1,15.811771
-10.1,1,15.82989
10.9,1,15.846016
0.246258,1,15.863215
-10.1,1,15.881001
10.9,1,15.900238
10.9,1,15.915366
10.9,1,15.931042
-10.1,1,15.950535
-10.1,1,15.968862
-0.183714,1,15.984397
-10.1,1,16.002311
10.9,1,16.020711
10.9,1,16.037113
10.9,1,16.053292
-0.213475,1,16.072498
10.9,1,16.092011
0.24738,1,16.107538
-7.1,1,16.11087
0.002789,1,16.124527
-10.1,1,16.145826
-10.1,1,16.163204
-7.1,1,16.180912
10.9,1,16.199667
10.9,1,16.220094
-10.1,1,16.23801
-10.1,1,16.255547
-10.1,1,16.262635
-7.1,1,16.276399
10.9,1,16.288267
-7.1,1,16.292298
-10.1,1,16.309476
-7.1,1,16.312237
10.9,1,16.329094
-0.167754,1,16.345263
-10.1,1,16.362178
-7.1,1,16.36656
-7.1,1,16.372227
10.9,1,16.387384
-10.1,1,16.405192
-10.1,1,16.423504
10.9,1,16.444364
10.9,1,16.462801
0.036796,1,16.480479
-10.1,1,16.501116
-10.1,1,16.522281
-10.1,1,16.539274
-10.1,1,16.560219
-7.1,1,16.564495
10.9,1,16.5862
-10.1,1,16.605684
-0.262884,1,16.625525
10.9,1,16.641947
-10.1,1,16.657988
-7.1,1,16.662997
-0.236516,1,16.679994
-10.1,1,16.697469
-10.1,1,16.714294
10.9,1,16.73331
-7.1,1,16.736949
-7.1,1,16.740049
10.9,1,16.75666
-10.1,1,16.777567
-10.1,1,16.794574
-10.1,1,16.811083
10.9,1,16.827348
10.9,1,16.842436
10.9,1,16.859319
10.9,1,16.87664
-7.1,1,16.880841
10.9,1,16.895391
10.9,1,16.912173
10.9,1,16.928841
-10.1,1,16.946043
-0.076172,1,16.96221
-10.1,1,16.979121
10.9,1,16.995883
-10.1,1,17.009979
-10.1,1,17.025505
-10.1,1,17.040294
-10.1,1,17.056945
-10.1,1,17.07423
10.9,1,17.092418
-7.1,1,17.097176
10.9,1,17.115842
-10.1,1,17.132377
-10.1,1,17.147049
-0.113286,1,17.163223
10.9,1,17.179414
10.9,1,17.194884
-10.1,1,17.211547
10.9,1,17.228241
0.113347,1,17.24553
10.9,1,17.261508
-10.1,1,17.279994
-7.1,1,17.284052
-10.1,1,17.304378
-10.1,1,17.320262
10.9,1,17.340304
10.9,1,17.361042
10.9,1,17.376871
10.9,1,17.39509
-7.1,1,17.396314
-7.1,1,17.396314
-10.1,1,17.416053
10.9,1,17.429221
-7.1,1,17.436507
-7.1,1,17.442538
-10.1,1,17.455942
-10.1,1,17.464405
10.9,1,17.479242
-10.1,1,17.496733
10.9,1,17.509733
-0.20862,1,17.525573
10.9,1,17.541589
0.124753,1,17.555234
-7.1,1,17.557236
-0.080285,1,17.563891
10.9,1,17.578338
10.9,1,17.602298
-10.1,1,17.613295
-0.321238,1,17.633181
10.9,1,17.645825
10.9,1,17.655849
-7.1,1,17.657853
-7.1,1,17.660871
10.9,1,17.661819
10.9,1,17.679865
-7.1,1,17.695125
10.9,1,17.70538
10.9,1,17.717278
10.9,1,17.731364
10.9,1,17.745099
-0.233791,1,17.745099
-10.1,1,17.769042
-7.1,1,17.771046
-7.1,1,17.773052
-10.1,1,17.784677
10.9,1,17.795907
-10.1,1,17.807933
-7.1,1,17.811819
-0.189735,1,17.829585
10.9,1,17.829585
-7.1,1,17.855283
-0.230426,1,17.866007
10.9,1,17.876023
-10.1,1,17.880835
10.9,1,17.904667
-7.1,1,17.906675
10.9,1,17.918128
10.9,1,17.929456
10.9,1,17.939483
10.9,1,17.946568
-10.1,1,17.963506
-7.1,1,17.963506
-10.1,1,17.983929
-10.1,1,17.995292
-0.058524,1,18.005437
10.9,1,18.012013
-10.1,1,18.031954
-10.1,1,18.051177
10.9,1,18.099401
-10.1,1,18.148854
10.9,1,18.1694
-10.1,1,18.180672
-10.1,1,18.195651
-7.1,1,18.199908
10.9,1,18.212111
-10.1,1,18.228846
-10.1,1,18.248952
-0.069909,1,18.265748
-10.1,1,18.27961
-10.1,1,18.295105
-0.313598,1,18.309465
-10.1,1,18.325148
-10.1,1,18.341524
-10.1,1,18.354499
-0.213633,1,18.372052
-0.239232,1,18.387188
10.9,1,18.404594
-10.1,1,18.419556
10.9,1,18.433793
-0.221696,1,18.450515
-7.1,1,18.453513
0.078726,1,18.471253
10.9,1,18.490261
-0.152323,1,18.506599
10.9,1,18.520249
0.051185,1,18.532902
10.9,1,18.549935
10.9,1,18.561714
10.9,1,18.57168
-0.055873,1,18.586308
10.9,1,18.60071
-10.1,1,18.618015
10.9,1,18.628994
-10.1,1,18.628994
10.9,1,18.655796
10.9,1,18.662446
-7.1,1,18.662446
-10.1,1,18.680361
-0.299295,1,18.702389
-7.1,1,18.712395
-10.1,1,18.712395
-10.1,1,18.730567
10.9,1,18.747049
-7.1,1,18.747049
-0.274866,1,18.762491
-0.110379,1,18.772678
-10.1,1,18.786187
10.9,1,18.798564
-0.219813,1,18.810325
-0.211443,1,18.819768
10.9,1,18.82913
-7.1,1,18.82913
10.9,1,18.847871
10.9,1,18.850225
10.9,1,18.867366
-10.1,1,18.877401
10.9,1,18.879286
-0.270256,1,18.895978
-10.1,1,18.912557
-10.1,1,18.922742
-7.1,1,18.926259
-10.1,1,18.929435
10.9,1,18.948119
-10.1,1,18.963351
-10.1,1,18.975124
10.9,1,18.989026
-7.1,1,19.003071
10.9,1,19.016606
10.9,1,19.032591
-10.1,1,19.044625
-10.1,1,19.056991
-10.1,1,19.06649
10.9,1,19.084998
-7.1,1,19.095966
-10.1,1,19.110462
10.9,1,19.123868
-10.1,1,19.137766
-0.083514,1,19.147424
10.9,1,19.161076
-10.1,1,19.163881
-10.1,1,19.184102
-0.223263,1,19.195127
-10.1,1,19.212955
10.9,1,19.228265
-10.1,1,19.230847
10.9,1,19.254194
-10.1,1,19.27181
-10.1,1,19.289785
-10.1,1,19.301997
10.9,1,19.318131
-7.1,1,19.320135
-10.1,1,19.331955
10.9,1,19.345484
-7.1,1,19.348207
10.9,1,19.360251
-0.202344,1,19.373634
10.9,1,19.388415
-0.04062,1,19.403916
-0.055621,1,19.418158
-10.1,1,19.432311
10.9,1,19.446241
-10.1,1,19.462934
-10.1,1,19.462934
-10.1,1,19.480317
-10.1,1,19.496905
-7.1,1,19.496905
-10.1,1,19.514208
-7.1,1,19.514208
-10.1,1,19.532472
10.9,1,19.547441
10.9,1,19.563015
10.9,1,19.563015
-10.1,1,19.593072
10.9,1,19.597593
-10.1,1,19.616566
-10.1,1,19.631905
-7.1,1,19.635915
-7.1,1,19.637919
-0.224132,1,19.648193
-10.1,1,19.660248
10.9,1,19.674009
-10.1,1,19.681007
10.9,1,19.700532
-10.1,1,19.712301
-7.1,1,19.713884
-10.1,1,19.713884
-7.1,1,19.726922
10.9,1,19.730442
-10.1,1,19.749708
-7.1,1,19.751713
-10.1,1,19.766932
-10.1,1,19.782277
-10.1,1,19.797861
10.9,1,19.808867
-10.1,1,19.823667
-7.1,1,19.827073
-0.203192,1,19.840888
-10.1,1,19.857148
10.9,1,19.871229
10.9,1,19.882334
10.9,1,19.896743
-10.1,1,19.911824
10.9,1,19.924749
-10.1,1,19.941731
-0.196032,1,19.957428
-10.1,1,19.972354
-10.1,1,19.990818
-10.1,1,20.009531
-10.1,1,20.021288
0.02786,1,20.034144
-7.1,1,20.052756
-10.1,1,20.066321
-10.1,1,20.078324
-7.1,1,20.092317
-7.1,1,20.096319
-10.1,1,20.098429
-10.1,1,20.127416
-0.213063,1,20.141978
10.9,1,20.146784
10.9,1,20.170948
-7.1,1,20.182877
-7.1,1,20.186769
10.9,1,20.197788
10.9,1,20.211303
10.9,1,20.222666
10.9,1,20.230324
-7.1,1,20.238089
-10.1,1,20.24748
-10.1,1,20.264566
-10.1,1,20.27934
